grantee,grantee_url,description,Award Date,Amount,Term,Program
Georgetown University,http://www.georgetownclimate.org,Supporting the Transportation and Climate Initiatives continuing leadership on policies that reduce greenhouse gas emissions across the northeast and mid-Atlantic.,3/22/2018,"$600,000",24 months,Climate
Global Philanthropy Partnership,http://www.global-philanthropy.org,To support the Urban Sustainability Directors Network.,3/22/2018,"$240,000",36 months,Climate
Global Philanthropy Partnership,http://www.global-philanthropy.org,To support the Carbon Neutral Cities Alliance project.,3/22/2018,"$400,000",36 months,Climate
"Huntington Theatre Company, Inc.",http://www.huntingtontheatre.org,"To evolve its business model, increase collaborative initiatives, and undertake community engagement research as part of the ArtsAmplified initiative.",3/22/2018,"$900,000",36 months,Arts & Creativity
Independent Sector,https://www.independentsector.org,To provide core support for Independent Sectors work to advance the charitable sector.,3/22/2018,"$250,000",24 months,Sector Effectiveness
Institute of Contemporary Art,http://www.icaboston.org,To increase collaboration and interdisciplinary artistic programming and to engage new audiences as part of the ArtsAmplified initiative.,3/22/2018,"$900,000",36 months,Arts & Creativity
"Isabella Stewart Gardner Museum, Inc.",http://www.gardnermuseum.org,To undertake a new co-curation model that emphasizes multidisciplinary collaboration as part of the ArtsAmplified initiative.,3/22/2018,"$900,000",36 months,Arts & Creativity
"National Consumer Law Center, Inc.",http://www.nclc.org,To advance equitable clean energy solutions in the region.,3/22/2018,"$90,000",36 months,Climate
"New Hampshire Learning Initiative, Inc.",http://nhlearninginitiative.org,To support college and career readiness and pathways in New Hampshire.,3/22/2018,"$400,000",24 months,Education
"Peabody Essex Museum, Inc.",http://www.pem.org,"To develop an innovation and creativity framework, and to increase learning and leadership opportunities for staff as part of the ArtsAmplified initiative.",3/22/2018,"$900,000",36 months,Arts & Creativity
"Preparatory Foundation, Inc.",http://www.bostonprep.org,To support Boston Preparatory Charter Public Schools capital campaign to serve 300 more students.,3/22/2018,"$400,000",12 months,Education
Technical Development Corporation,http://www.tdcorp.org,"To co-design a cohort learning agenda, organize convenings, and provide coaching and grants for market research.",3/22/2018,"$1,434,500",15 months,Arts & Creativity
"Theater Offensive, Inc.",http://www.thetheateroffensive.org,To support the OUT in Your Neighborhood: Power and Agility five-year initiative as part of the ArtsAmplified initiative.,3/22/2018,"$375,000",36 months,Arts & Creativity
The Energy Foundation,http://www.ef.org,To accelerate the transition to clean energy in the Northeast.,3/22/2018,"$3,000,000",12 months,Climate
"The Marion Institute, Inc.",http://www.marioninstitute.org,To support Bus Rapid Transit pilots and invest in local leadership.,3/22/2018,"$600,000",12 months,Climate
"Third Sector New England, Inc.",http://www.tsne.org,To support Building Movement Project's Race to Lead research agenda.,3/22/2018,"$225,000",36 months,Sector Effectiveness
"Toxics Action Center, Inc.",http://www.toxicsaction.org,To organize grassroots groups to inform the development of clean energy policies across New England.,3/22/2018,"$600,000",36 months,Climate
Urban Age Institute,http://www.meetingoftheminds.org,"To support Meeting of the Minds, communications, and behavioral change research to advance mobility innovation in Massachusetts.",3/22/2018,"$225,000",24 months,Climate
Borealis Philanthropy,https://borealisphilanthropy.org/,To support a funder collaborative to advance racial equity and inclusion in the nonprofit sector.,2/28/2018,"$150,000",12 months,Sector Effectiveness
Environmental Grantmakers Association,https://ega.org/,For 2018 Barr Foundation member support.,2/28/2018,"$15,000",12 months,Memberships & Sponsorships
"Livable Streets Transportation Alliance of Boston, Inc.",http://www.LivableStreets.info,To accelerate Bus Rapid Transit and better bus service throughout Greater Boston.,2/28/2018,"$250,000",24 months,Climate
National Public Education Support Fund,http://www.npesf.org,To support 2018 Barr Foundation Membership Dues for the Education Funder Strategy Group.,2/28/2018,"$10,000",12 months,Memberships & Sponsorships
Tides Center,http://www.tides.org,To support 2018 Barr Foundation Membership Dues for Emerging Practitioners in Philanthropy.,2/28/2018,"$7,500",12 months,Memberships & Sponsorships
"University of Massachusetts Foundation, Inc.",https://www.umassp.edu/foundation,To provide targeted communications and outreach support for roll-out of climate resilience reports.,2/28/2018,"$20,000",5 months,Climate
"WalkBoston, Inc.",http://www.walkboston.org,To support WalkBoston's walking and transit advocacy.,2/28/2018,"$150,000",24 months,Climate
Civic Nation,http://bettermakeroom.org,To support the Inaugural Reach Higher Salon Dinner.,1/31/2018,"$10,000",1 months,Memberships & Sponsorships
"Lenny Fund, Inc.",http://www.thelennyzakimfund.org,To support sustainability and transition planning and implementation.,1/31/2018,"$95,000",26 months,Sector Effectiveness
Philanthropy Roundtable,http://www.philanthropyroundtable.org,To support 2018 Barr Foundation Membership Dues.,1/31/2018,"$1,000",12 months,Memberships & Sponsorships
Stand for Children Leadership Center,http://www.stand.org/ma,To provide an exit grant for general operating support for Stand Massachusetts.,1/31/2018,"$100,000",12 months,Education
"Technology Affinity Group, Inc.",http://www.tagtech.org,To support 2018 Barr Foundation Membership Dues.,1/31/2018,"$2,000",12 months,Memberships & Sponsorships
"The Boston Foundation, Inc.",http://www.tbf.org,To support Massachusetts United for Puerto Rico Fund relocation services grantmaking and overall staffing.,1/31/2018,"$250,000",12 months,Special Initiatives
University of Wisconsin Foundation,http://www.supportuw.org,To support ten participants to attend All Transportation is Local workshop.,1/31/2018,"$16,000",4 months,Memberships & Sponsorships
Asian American-Pacific Islanders in Philanthropy,http://aapip.org,To support 2018 Barr Foundation Membership Dues.,1/ 8/2018,"$10,000",12 months,Memberships & Sponsorships
"Associated Grant Makers, Inc.",http://www.agmconnect.org,To support 2018 Barr Foundation Membership Dues.,1/ 8/2018,"$21,500",12 months,Memberships & Sponsorships
Communication Network,http://www.comnetwork.org,To support 2018 Barr Foundation Membership Dues.,1/ 8/2018,"$15,000",12 months,Memberships & Sponsorships
Consultative Group on Biological Diversity,https://www.cgbd.org,To support 2018 Barr Foundation Membership Dues for the Climate and Energy Funders Group.,1/ 8/2018,"$7,500",12 months,Memberships & Sponsorships
"Council on Foundations, Inc.",http://www.cof.org,To support 2018 Barr Foundation Membership Dues.,1/ 8/2018,"$23,500",12 months,Memberships & Sponsorships
Hispanics in Philanthropy,http://www.hiponline.org,To support 2018 Barr Foundation Membership Dues.,1/ 8/2018,"$15,000",12 months,Memberships & Sponsorships
Independent Sector,https://www.independentsector.org,To support 2018 Barr Foundation Membership Dues.,1/ 8/2018,"$17,500",12 months,Memberships & Sponsorships
National Committee for Responsive Philanthropy,http://www.ncrp.org,To support 2018 Barr Foundation Membership Dues.,1/ 8/2018,"$15,000",12 months,Memberships & Sponsorships
"PEAK Grantmaking, Inc.",http://www.gmnetwork.org,To support 2018 Barr Foundation Membership Dues.,1/ 8/2018,"$5,900",12 months,Memberships & Sponsorships
"Environment America Research and Policy Center, Inc.",http://environmentamericacenter.org,To provide general operating support for Environment Massachusetts.,12/19/2017,"$75,000",12 months,Climate
"Alliance for Business Leadership, Inc.",http://www.allianceforbusinessleadership.org,To increase business leader engagement in support of action on clean energy in Massachusetts.,12/ 5/2017,"$75,000",24 months,Climate
"Artists for Humanity, Inc.",http://www.afhboston.com,"To produce a multi-site ""Our Waterfront"" collaborative painting project and exhibit.",12/ 5/2017,"$75,000",12 months,Special Initiatives
"Boston Chinatown Neighborhood Center, Inc.",http://bcnc.net,To support the Pao Arts Center on defining and building its long-term programmatic and operational capacity.,12/ 5/2017,"$675,000",36 months,Arts & Creativity
"Boston Harbor Now, Inc.",http://bostonharbornow.org,"To support the Fort Point Neighborhood Association's efforts to create an alliance of waterfront residents to collectively address environmental, economic, and social issues related to living at the water's edge.",12/ 5/2017,"$75,000",12 months,Special Initiatives
"Center for Effective Philanthropy, Inc.",http://www.cep.org,To provide core support and to support a systems automation project.,12/ 5/2017,"$550,000",36 months,Sector Effectiveness
"Community Foundation of Southeastern Massachusetts, Inc.",http://www.cfsema.org,"As part of the Creative Commonwealthto support the Arts, Culture, and Creativity: What's Next? Initiative.",12/ 5/2017,"$500,000",24 months,Arts & Creativity
Community Foundation of Western Massachusetts,http://communityfoundation.org,"To support the Advancing Arts + Creativity in the Pioneer Valley and the Hilltowns Program, as part of the Creative Commonwealth.",12/ 5/2017,"$500,000",24 months,Arts & Creativity
ConnectEd The California Center for College and Career,http://www.connectedcalifornia.org,To continue increasing the capacity of Boston and Holyoke Public Schools to design high quality college and career pathways in underperforming high schools.,12/ 5/2017,"$1,100,000",24 months,Education
Emerson College,http://www.artsemerson.org,"To deliver ground-breaking, culturally-relevant new work; meaningfully engage Boston's diverse audiences; clarify and communicate its vision and values; and build its fundraising capacity as part of the ArtsAmplified initiative.",12/ 5/2017,"$675,000",36 months,Arts & Creativity
"Essex County Community Foundation, Inc.",http://www.eccf.org,"To support the Creative County Initiative, as part of the Creative Commonwealth.",12/ 5/2017,"$500,000",24 months,Arts & Creativity
"Greater Worcester Community Foundation, Inc.",http://www.greaterworcester.org,"To support the Creative Arts Grant and Community Convening Initiative, as part of the Creative Commonwealth.",12/ 5/2017,"$500,000",24 months,Arts & Creativity
"Jacob's Pillow Dance Festival, Inc.",https://www.jacobspillow.org/,To strengthen artistic and community engagement programs and develop plans to upgrade its main theater as part of the ArtsAmplified initiative.,12/ 5/2017,"$1,100,000",36 months,Arts & Creativity
"Massachusetts Museum of Contemporary Art Foundation, Inc.",http://massmoca.org,"To increase capacity to support new and innovative artists, projects, and partnerships, and enhance visitor experience as part of the ArtsAmplified initiative.",12/ 5/2017,"$900,000",36 months,Arts & Creativity
"Mystic River Watershed Association, Inc.",http://www.mysticriver.org,To build the capacity of The Friends of the East Boston Greenway and to better connect the Greenway to East Boston people and places.,12/ 5/2017,"$100,000",12 months,Special Initiatives
