grantee,grantee_url,description,Award Date,Amount,Term,Program
Tides Center,http://www.tides.org,To support Project Evident's shared services model to build evaluation capacity in the nonprofit sector.,6/20/2018,"$250,000",12 months,Sector Effectiveness
"Applied Economics Clinic, Inc.",http://www.aeclinic.org,To support independent clean energy research and analysis in New England.,5/31/2018,"$200,000",24 months,
"Associated Grant Makers, Inc.",http://www.agmconnect.org,To support 2018 Barr Foundation Membership Dues for Boston Education Funders.,5/31/2018,"$2,500",12 months,
"Boston Day and Evening Academy Foundation, Inc.",http://www.bacademy.org,To support continued planning for a new program model in the Engage New England initiative.,5/31/2018,"$300,000",12 months,
Fresh Energy,http://energynews.us,To support energy reporting in New England.,5/31/2018,"$300,000",24 months,
Georgetown University,http://www.georgetownclimate.org,To support the Teacher Mindset project.,5/31/2018,"$200,000",12 months,
"Jobs for the Future, Inc.",http://www.jff.org,To support the refinement phase of the research to identify and examine high-performing high schools.,5/31/2018,"$300,000",12 months,
"Massachusetts Advocates for Children, Inc.",http://www.massadvocates.org,To provide continued general operating and capacity-building support.,5/31/2018,"$35,000",4 months,
Massachusetts Climate Action Network,http://www.massclimateaction.org,To provide general operating support.,5/31/2018,"$140,000",36 months,
"New England Grassroots Environment Fund, Inc.",http://www.grassrootsfund.org,To support the 2018 RootSkills Conference.,5/31/2018,"$10,000",12 months,
New Venture Fund,http://www.newventurefund.org,To better understand parent mindsets in Massachusetts; partner with MA DESE on a school-based report card; and explore a programmatic expansion to serve high school parents.,5/31/2018,"$250,000",12 months,
"Associated Grant Makers, Inc.",http://www.agmconnect.org,To support the Massachusetts Census Equity Fund.,5/30/2018,"$400,000",24 months,
"Centro Presente, Inc.",http://-,To provide core support.,5/30/2018,"$200,000",24 months,
"Leadership Conference Education Fund, Inc.",http://-,"For education, policy, and communications activities to promote a fair and accurate 2020 Census.",5/30/2018,"$200,000",24 months,
"Lenny Fund, Inc.",http://www.thelennyzakimfund.org,To provide financial support and technical assistance to grassroots organizations addressing social and economic injustice.,5/30/2018,"$300,000",36 months,
Massachusetts Legal Assistance Corporation,http://mlac.org,To support the Greater Boston Immigrant Defense Fund.,5/30/2018,"$200,000",24 months,
"Massachusetts Voter Education Network, Inc.",http://www.massvote.org,To support Census education and outreach.,5/30/2018,"$200,000",24 months,
"Muslim Justice League, Inc.",http://-,To provide core support.,5/30/2018,"$100,000",36 months,
New Venture Fund,http://www.newventurefund.org,To support the Census 2020 Project.,5/30/2018,"$200,000",24 months,
"Proteus Fund, Inc.",http://www.proteusfund.org,To support the Security and Rights Collaborative.,5/30/2018,"$50,000",24 months,
"Third Sector New England, Inc.",http://www.tsne.org,To support the Center for Immigrant Organizing.,5/30/2018,"$150,000",36 months,
"Massachusetts Communities Action Network, Inc.",http://www.mcan-pico.org,"To support diversity, equity, and inclusion planning and capacity building.",5/21/2018,"$30,000",18 months,Education
Capitol Region Education Council,http://www.crec.org,To support the launch of Impact Academy as part of the Education ProgramÕs Engage New England: Doing High School Differently initiative.,5/ 7/2018,"$750,000",36 months,Education
"Phoenix Charter Academy Foundation, Inc.",http://www.phoenixcharteracademy.org,To support the launch of a redesigned Phoenix Charter Academy Chelsea as part of the Education ProgramÕs Engage New England: Doing High School Differently initiative.,5/ 7/2018,"$750,000",36 months,Education
"Sociedad Latina, Inc.",http://www.sociedadlatina.org,To support strategic planning.,5/ 1/2018,"$50,000",12 months,Sector Effectiveness
"Alliance for Business Leadership, Inc.",https://alliancebl.org/,To expand business leadership on mobility and Bus Rapid Transit.,4/27/2018,"$230,000",24 months,Climate
City of Boston,http://www.cityofboston.gov,To provide additional support for scope expansion related to district resilience in South Boston/Fort Point.,4/27/2018,"$25,000",6 months,Climate
Clean Energy States Alliance,https://www.cesa.org/,To support multi-state collaborative efforts to accelerate the deployment of offshore wind in the Northeast.,4/27/2018,"$150,000",36 months,Climate
"Equity Lab Charter Schools, Inc.",www.equitylab.org,"To support planning for Equity Lab Charter School in Lawrence, Massachusets.",4/27/2018,"$200,000",12 months,Education
"Generation Teach, Inc.",http://www.generationteach.org,To support the Summer Teaching Fellowship and Placement and Support for Alumni in New England.,4/27/2018,"$300,000",17 months,Education
"Margarita Mu–iz Academy Foundation, Inc.",http://www.munizacademy.org,To support a new Middle School Administrator and curriculum planning for Margarita Mu–iz Academy's 7th and 8th grade expansion.,4/27/2018,"$160,000",13 months,Education
"Newport Public Education Foundation, Inc.",https://www.npsri.net/,To support instructional and school culture transformation at Rogers High School.,4/27/2018,"$300,000",14 months,Education
The Hideo Sasaki Foundation,http://www.sasakifoundation.org,To support strategic planning and workplan development for mobility and resilience.,4/27/2018,"$55,000",6 months,Climate
"A Better City Initiative, Inc.",http://www.abettercity.org,To support completion of the Rose Architectural Fellow's work in the cohort's final year.,4/ 5/2018,"$90,000",12 months,Climate
